FOD1P,Major,Major_Category
1101,AGRICULTURE PRODUCTION,_Agriculture
1101,AGRICULTURE MANAGEMENT,_Agriculture
1102,AGRICULTURAL ECONOMICS,_Agriculture
1103,ANIMAL SCIENCES,_Agriculture
1104,FOOD SCIENCE,_Agriculture
1105,PLANT SCIENCE,_Agriculture
1105,AGRONOMY,_Agriculture
1106,SOIL SCIENCE,_Agriculture
1302,FORESTRY,_Agriculture
1303,NATURAL RESOURCES,_Agriculture
6000,FINE ARTS,_Art
6001,DRAMA,_Art
6001,THEATER,_Art
6002,MUSIC,_Art
6003,VISUAL ARTS,_Art
6003,PERFORMING ARTS,_Art
6004,COMMERCIAL ART,_Art
6004,GRAPHIC DESIGN,_Art
6005,PHOTOGRAPHY,_Art
6005,FILM,_Art
6005,VIDEO,_Art
6007,STUDIO ARTS,_Art
1301,ENVIRONMENTAL SCIENCE,_Physical sciences
3600,BIOLOGY,_Physical sciences
3601,BIOCHEMICAL SCIENCES,_Physical sciences
3602,BOTANY,_Physical sciences
3603,MOLECULAR BIOLOGY,_Physical sciences
3604,ECOLOGY,_Physical sciences
3605,GENETICS,_Physical sciences
3606,MICROBIOLOGY,_Physical sciences
3607,PHARMACOLOGY,_Physical sciences
3608,PHYSIOLOGY,_Physical sciences
3609,ZOOLOGY,_Physical sciences
3611,NEUROSCIENCE,_Physical sciences
4006,COGNITIVE SCIENCE,_Physical sciences
4006,BIOPSYCHOLOGY,_Physical sciences
6200,GENERAL BUSINESS,_Business
6201,ACCOUNTING,_Business
6202,ACTUARIAL SCIENCE,_Business
6203,BUSINESS MANAGEMENT AND ADMINISTRATION,_Business
6204,LOGISTICS,_Business
6205,BUSINESS ECONOMICS,_Business
6206,MARKETING,_Business
6207,FINANCE,_Business
6209,HUMAN RESOURCES,_Business
6210,INTERNATIONAL BUSINESS,_Business
6211,HOSPITALITY MANAGEMENT,_Business
6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,_Business
1901,COMMUNICATIONS,_Communications
1902,JOURNALISM,_Communications
1903,MASS MEDIA,_Communications
1904,ADVERTISING,_Communications
1904,PUBLIC RELATIONS,_Communications
2100,COMPUTER SYSTEMS,_Computers
2100,INFORMATION SYSTEMS,_Computers
2101,COMPUTER PROGRAMMING,_Computers
2101,DATA PROCESSING,_Computers
2102,COMPUTER SCIENCE,_Computers
2105,INFORMATION SCIENCES,_Computers
2106,COMPUTER ADMINISTRATION MANAGEMENT,_Computers
2106,COMPUTER SECURITY,_Computers
2107,COMPUTER NETWORKING,_Computers
3700,Mathematics,_Mathematics
3700,MATH,_Mathematics
3701,APPLIED MATHEMATICS,_Mathematics
3701,APPLIED MATH,_Mathematics
3702,DECISION SCIENCE,_Mathematics
3702,STATISTICS,_Mathematics
2300,EDUCATION,_Education
2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,_Education
2303,SCHOOL STUDENT COUNSELING,_Education
2304,ELEMENTARY EDUCATION,_Education
2305,Mathematics TEACHER EDUCATION,_Education
2306,PHYSICAL AND HEALTH EDUCATION TEACHING,_Education
2307,EARLY CHILDHOOD EDUCATION,_Education
2308,SCIENCE AND COMPUTER TEACHER EDUCATION,_Education
2309,SECONDARY TEACHER EDUCATION,_Education
2310,SPECIAL NEEDS EDUCATION,_Education
2311,SOCIAL SCIENCE TEACHER EDUCATION,_Education
2311,HISTORY TEACHER EDUCATION,_Education
2313,LANGUAGE EDUCATION,_Education
2313,DRAMA EDUCATION,_Education
2314,MUSIC EDUCATION,_Education
2314,ART EDUCATION,_Education
3501,LIBRARY SCIENCE,_Education
1401,ARCHITECTURE,_Engineering
2401,AEROSPACE ENGINEERING,_Engineering
2402,BIOMEDICAL ENGINEERING,_Engineering
2403,ARCHITECTURAL ENGINEERING,_Engineering
2405,CHEMICAL ENGINEERING,_Engineering
2406,CIVIL ENGINEERING,_Engineering
2407,COMPUTER ENGINEERING,_Engineering
2408,ELECTRICAL ENGINEERING,_Engineering
2410,ENVIRONMENTAL ENGINEERING,_Engineering
2411,GEOLOGICAL ENGINEERING,_Engineering
2411,GEOPHYSICAL ENGINEERING,_Engineering
2412,MANUFACTURING ENGINEERING,_Engineering
2412,INDUSTRIAL ENGINEERING,_Engineering
2413,MATERIALS ENGINEERING,_Engineering
2414,MECHANICAL ENGINEERING,_Engineering
2415,METALLURGICAL ENGINEERING,_Engineering
2416,MINERAL ENGINEERING,_Engineering
2416,MINING ENGINEERING,_Engineering
2417,NAVAL ARCHITECTURE,_Engineering
2417,MARINE ENGINEERING,_Engineering
2418,NUCLEAR ENGINEERING,_Engineering
2419,PETROLEUM ENGINEERING,_Engineering
2500,ENGINEERING TECHNOLOGIES,_Engineering
5008,MATERIALS SCIENCE,_Engineering
4002,NUTRITION SCIENCES,_Health
6102,COMMUNICATION DISORDERS,_Health
6103,HEALTH ADMINISTRATIVE SERVICES,_Health
6103,MEDICAL ADMINISTRATIVE SERVICES,_Health
6104,MEDICAL ASSISTING SERVICES,_Health
6105,MEDICAL TECHNOLOGIES,_Health
6105,MEDICAL TECHNICIANS,_Health
6107,NURSING,_Health
6108,PHARMACY,_Health
6108,PHARMACEUTICAL,_Health
6109,TREATMENT THERAPY PROFESSIONS,_Health
6110,COMMUNITY HEALTH,_Health
6110,PUBLIC HEALTH,_Health
6110,DOCTOR,_Health
6110,DENTIST,_Health
6110,RADIOLOGIST,_Health
6110,GYNECOLOGIST,_Health
6110,DERMATOLOGIST,_Health
6110,SURGEON,_Health
1501,CIVILIZATION STUDIES,_liberal arts
2601,LINGUISTICS,_liberal arts
2602,FRENCH,_liberal arts
2602,GERMAN,_liberal arts
2602,LATIN,_liberal arts
2602,SPANISH,_liberal arts
2603,FOREIGN LANGUAGES,_liberal arts
3301,ENGLISH LANGUAGE AND LITERATURE,_liberal arts
3302,COMPOSITION AND RHETORIC,_liberal arts
3401,LIBERAL ARTS,_liberal arts
3402,HUMANITIES,_liberal arts
4001,INTERCULTURAL,_liberal arts
4001,INTERNATIONAL STUDIES,_liberal arts
4801,PHILOSOPHY,_liberal arts
4801,RELIGIOUS STUDIES,_liberal arts
4901,THEOLOGY,_liberal arts
4901,RELIGION,_liberal arts
5502,ARCHEOLOGY,_liberal arts
5502,ANTHROPOLOGY,_liberal arts
6006,ART HISTORY,_liberal arts
6402,HISTORY,_liberal arts
6403,UNITED STATES HISTORY,_liberal arts
2201,COSMETOLOGY,_consumer services
2201,CULINARY ARTS,_consumer services
2901,CONSUMER SCIENCES,_consumer services
2901,FAMILY,_consumer services
3801,MILITARY,_consumer services
4101,PHYSICAL FITNESS,_consumer services
4101,PARKS,_consumer services
4101,RECREATION,_consumer services
5601,CONSTRUCTION,_consumer services
5901,TRANSPORTATION,_consumer services
3201,COURT REPORTING,_law
3202,PRE-LAW,_law
5301,CRIMINAL JUSTICE AND FIRE PROTECTION,_law
5401,PUBLIC ADMINISTRATION,_law
5402,PUBLIC POLICY,_law
5402,LAW,_law
5402,LEGAL STUDIES,_law
5000,PHYSICAL SCIENCES,_Physical sciences
5001,ASTRONOMY,_Physical sciences
5001,ASTROPHYSICS,_Physical sciences
5002,ATMOSPHERIC SCIENCES,_Physical sciences
5002,METEOROLOGY,_Physical sciences
5003,CHEMISTRY,_Physical sciences
5004,GEOLOGY,_Physical sciences
5004,EARTH SCIENCE,_Physical sciences
5005,GEOSCIENCES,_Physical sciences
5006,OCEANOGRAPHY,_Physical sciences
5007,PHYSICS,_Physical sciences
5200,PSYCHOLOGY,_social sciences
5201,EDUCATIONAL PSYCHOLOGY,_social sciences
5202,CLINICAL PSYCHOLOGY,_social sciences
5203,COUNSELING PSYCHOLOGY,_social sciences
5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,_social sciences
5206,SOCIAL PSYCHOLOGY,_social sciences
5403,HUMAN SERVICES,_social sciences
5403,COMMUNITY ORGANIZATION,_social sciences
5404,SOCIAL WORK,_social sciences
5501,ECONOMICS,_social sciences
5503,CRIMINOLOGY,_social sciences
5504,GEOGRAPHY,_social sciences
5505,INTERNATIONAL RELATIONS,_social sciences
5506,POLITICAL SCIENCE,_social sciences
5506,GOVERNMENT,_social sciences
5507,SOCIOLOGY,_social sciences